Tweet,Label
"Woman killed in suspected random attack in downtown Toronto     Rare, isnt it ? Same can be said about setting people on fire, amp; stabbing them to death in TTC. Stop moonlighting as COVID jab sales guy, do your job.",['avoid']
"   yet nowhere did 24 mention that this was an antisemitic attack, and they interviewed some random guy who said it doesnt matter who was targeted. Why??",['avoid']
There are reports that the hatemotivated assault on the  yesterday was an antisemitic attack. A man allegedly struck another on the head knocking his Kippah off while shouting antisemitic comments.   are investigating.    ,['avoid']
"Another attack on the TTC They learned that a man had allegedly struck one person on the head, which resulted in their religious head covering being knocked over and falling to the ground. TOpoli onpoli   ",['avoid']
There was another attack on the TTC this morning. This one was hate motivated towards a specific community. I must have missed the incident by five mins or so. Be safe out there.,['avoid']
"I dont know about this but he was trying to protect a homeless woman, these girls tried to take her alcohol. Also the same girls were assaulting ppl earlier on the TTC. Such a violent attack its really sad. Too bad they didnt catch them earlier",['avoid']
"The teenage girls alleged to have murdered a homeless man downtown in a swarming attack are also suspected in a string of random assaults along the TTCs Line 1 the same night, a source confirmed Wednesday.   ",['avoid']
"Police investigating alleged assaults by group of teen girls on TTC, wont say if its related to fatal swarming attack  ",['avoid']
"Police investigating alleged assaults by group of teen girls on TTC, wont say if its related to fatal swarming attack    ",['avoid']
"Police investigating alleged assaults by group of teen girls on TTC, wont say if its related to fatal swarming attack  ",['avoid']
"Police Investigating Alleged Assaults By Group Of Teen Girls On TTC, Wont Say If Its Related To Fatal Swarming Attack   ",['avoid']
"Canada police ID Toronto homeless man, 59, allegedly murdered by 8 teen girls in swarming attack   Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC",['avoid']
Teens charged after Toronto swarming attack also suspects in random TTCassaults    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers girls TTC Publictransit Transit,['avoid']
"Policeinvestigating alleged assaults by group of teen girls on TTC, wont say if its related to fatal swarming attack   ",['avoid']
"The teen girls alleged to have murdered a homeless man downtown Toronto in a swarming attack are also suspected in a string of random assaults along the TTCs Line 1 the same night, a source confirmed Wednesday  ",['avoid']
"UPDATED: The teen girls charged after allegedly murdering a Toronto homeless man in a swarming attack are also suspects in a series of random TTC assaults, a Toronto police source tells Global News.  ",['avoid']
"Police investigating alleged assaults by group of teen girls on TTC, wont say if is related to fatal swarming attack   via 24",['avoid']
"The teen girls alleged to have murdered a homeless man downtown in a swarming attack are also suspected in a string of random assaults along the TTCs Line 1 the same night, a source confirmed Wednesday.  ",['avoid']
The teen girls alleged murderers of a homeless Chinese man are also suspected in string of random attack along the TTC. Parents should have eyes on their kids.,['avoid']
Elderly man has ear chewed off in Portland train station attack  Toronto Sun   Toronto Transit TTC GoTransit GoTrain GoBus Transportation,['avoid']
"Tonight at 6: A final farewell to OPP Cst. Greg Pierzchala, killed while attending a call last week. Another violent subway attack amp; how the city plans to boost the TTCs budget. Plus, should Ontario follow BCs lead and implement a 3day cooling off period for homebuyers?",['avoid']
Prophet of Doom pleads guilty in Brooklyn subway attack  CityNews Toronto   Toronto Transit TTC GoTransit GoTrain GoBus Transportation,['avoid']
