,tweet
0," Stabbing, shootings, ttc assaults and this is what the mayor is doing. useless worstmayorever"
1, Due to a random stabbing. Another reason not to take the ttc
2, Interesting how there was a stabbing at one of your stations 16 hours agowhen this account was activeand you said nothing about it.  Its almost like you are told not to talk about these things to improve ridership.   Me and my family will not ever be taking the ttc
3,Woman found at Dundas subway station with stabbing injuries  Global News   Toronto Transit TTC GoTransit GoTrain GoBus Transportation
4,Cool. Another stabbing on the TTC and another attempted push onto the tracks. Thanks John Tory. topoli
5, 24  Read the article the stabbing did not occur on the TTC or at Dundas Station. The stabbing took place at York University near Osgoode Law School the victim then took the subway to Dundas Station.
6,Victim of stabbing incident located at Dundas subway station  CityNews Toronto   Toronto Transit TTC GoTransit GoTrain GoBus Transportation
7,"24 The incident happened at York U, 25 kms away. The media is trying to create fear riding the TTC harley  Stabbing, senior murdered, subway shoving in a day   LIBERALS WANT CONTROL OVER YOUR PERSONAL LIVES. HOW?  FEAR Can you separate the signal from the noise."
8,"I was glad to get out and laugh tonight...Im also glad I got home safe ...I am quite frankly on edge after everything that has happened in my area and then hearing of the stabbing, the issues on TTC ...please be vigilant everyone "
10,"Woman killed in suspected random attack in downtown Toronto     Rare, isnt it ? Same can be said about setting people on fire, amp; stabbing them to death in TTC. Stop moonlighting as COVID jab sales guy, do your job.   "
11,"The TTC can fvck all the way off a SA, another pushing incident on platform and just now rumour of a stabbing? Ffs"
12,Stabbing at Dundas station. Fuck.  ttc delay stabbing ota
13,Toronto police investigate whether girls alleged subway assaults related to fatal stabbing  Windsor Star:   TTC GoTransit GoTrain GoBus Transit Toronto Transportation
14,Toronto police investigate whether girls alleged subway assaults related to fatal stabbing  Windsor Star   Toronto Transit TTC GoTransit GoTrain GoBus Transportation
15,KenLees friends say stabbingvictim was hero in protectinggirlfriend    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit
16,Man IDd as Victim of Alleged TorontoTeen Swarming Killing    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit KenLee
17,Fundraiser launched for Toronto man allegedly killed by 8 teen girls   Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit
18,"Canada police ID Toronto homeless man, 59, allegedly murdered by 8 teen girls in swarming attack   Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC"
19,Man allegedly killed by swarm of 8 teen girls in Toronto identified as KenLee    TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls TTC Publictransit Transit
20,Torontopolice say group of teens randomly attacked several people on the TTC    Toronto TOpoli Crime security Police cops assault Investigation Murder Manslaughter homicide stabbing Teengirls Teenagers Teens girls Publictransit Transit
